Using downloaded and verified file: /home/carlosgil/.medmnist/bloodmnist.npz
Using downloaded and verified file: /home/carlosgil/.medmnist/bloodmnist.npz
Using downloaded and verified file: /home/carlosgil/.medmnist/bloodmnist.npz
Using downloaded and verified file: /home/carlosgil/.medmnist/bloodmnist.npz
| Wide-Resnet 28x10
P(y|x) 1:119 loss=   2.010405302, acc=   0.250000000
P(x) | 1:27 f(x_p_d)=   0.220420420 f(x_q)=   3.347991705 d=  -3.127571344
P(y|x) 1:120 loss=   1.974577546, acc=   0.234375000
P(x) | 1:28 f(x_p_d)=  -0.262464404 f(x_q)=   5.408511639 d=  -5.670976162
P(y|x) 1:121 loss=   1.990252852, acc=   0.250000000
P(x) | 1:29 f(x_p_d)=   0.341436237 f(x_q)=   6.380975723 d=  -6.039539337
P(y|x) 1:122 loss=   1.993038297, acc=   0.234375000
P(x) | 1:30 f(x_p_d)=   1.489338040 f(x_q)=   7.117325306 d=  -5.627987385
P(y|x) 1:123 loss=   2.125141621, acc=   0.179687500
P(x) | 1:31 f(x_p_d)=   4.000604630 f(x_q)=   7.803901672 d=  -3.803297043
P(y|x) 1:124 loss=   1.996666908, acc=   0.250000000
P(x) | 1:32 f(x_p_d)=   5.278613091 f(x_q)=   8.801907539 d=  -3.523294449
P(y|x) 1:125 loss=   1.991196990, acc=   0.257812500
P(x) | 1:33 f(x_p_d)=   6.286507130 f(x_q)=   9.286720276 d=  -3.000213146
P(y|x) 1:126 loss=   1.953545809, acc=   0.250000000
P(x) | 1:34 f(x_p_d)=   7.844985008 f(x_q)=  10.620800018 d=  -2.775815010
P(y|x) 1:127 loss=   2.120838404, acc=   0.164062500
P(x) | 1:35 f(x_p_d)=   8.183509827 f(x_q)=  10.548921585 d=  -2.365411758
P(y|x) 1:128 loss=   2.024645805, acc=   0.195312500
P(x) | 1:36 f(x_p_d)=   8.588930130 f(x_q)=  11.596649170 d=  -3.007719040
P(y|x) 1:129 loss=   2.064648390, acc=   0.210937500
P(x) | 1:37 f(x_p_d)=   8.985671997 f(x_q)=  11.534736633 d=  -2.549064636
P(y|x) 1:130 loss=   2.094680071, acc=   0.226562500
P(x) | 1:38 f(x_p_d)=   8.763066292 f(x_q)=  11.235076904 d=  -2.472010612
P(y|x) 1:131 loss=   1.997952342, acc=   0.179687500
P(x) | 1:39 f(x_p_d)=   9.089144707 f(x_q)=  10.736032486 d=  -1.646887779
P(y|x) 1:132 loss=   2.075983524, acc=   0.109375000
P(x) | 1:40 f(x_p_d)=   8.893808365 f(x_q)=  10.315702438 d=  -1.421894073
P(y|x) 1:133 loss=   2.070537090, acc=   0.093750000
P(x) | 1:41 f(x_p_d)=   8.720241547 f(x_q)=   9.977487564 d=  -1.257246017
P(y|x) 1:134 loss=   2.023263216, acc=   0.203125000
P(x) | 1:42 f(x_p_d)=   8.678739548 f(x_q)=   9.665402412 d=  -0.986662865
P(y|x) 1:135 loss=   2.053447008, acc=   0.078125000
P(x) | 1:43 f(x_p_d)=   8.401126862 f(x_q)=   8.978600502 d=  -0.577473640
P(y|x) 1:136 loss=   2.026617527, acc=   0.156250000
P(x) | 1:44 f(x_p_d)=   8.484251976 f(x_q)=   8.720438004 d=  -0.236186028
P(y|x) 1:137 loss=   2.044925690, acc=   0.117187500
P(x) | 1:45 f(x_p_d)=   7.924636841 f(x_q)=   7.809881210 d=   0.114755630
P(y|x) 1:138 loss=   2.092953205, acc=   0.132812500
P(x) | 1:46 f(x_p_d)=   7.994670391 f(x_q)=   7.748221397 d=   0.246448994
P(y|x) 1:139 loss=   2.072398186, acc=   0.132812500
P(x) | 1:47 f(x_p_d)=   7.804381371 f(x_q)=   7.831356525 d=  -0.026975155
P(y|x) 1:140 loss=   2.088570595, acc=   0.062500000
P(x) | 1:48 f(x_p_d)=   7.437074661 f(x_q)=   7.148738384 d=   0.288336277
P(y|x) 1:141 loss=   2.058456898, acc=   0.195312500
P(x) | 1:49 f(x_p_d)=   7.375876427 f(x_q)=   6.889103413 d=   0.486773014
P(y|x) 1:142 loss=   2.072174788, acc=   0.132812500
P(x) | 1:50 f(x_p_d)=   7.004006386 f(x_q)=   6.718287468 d=   0.285718918
P(y|x) 1:143 loss=   2.074021578, acc=   0.093750000
P(x) | 1:51 f(x_p_d)=   7.060013771 f(x_q)=   6.475474834 d=   0.584538937
